"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"3091",2008-06-19,0,25,13,19
"3092",2008-06-20,0,28,16,22
"3093",2008-06-21,0,34,16,25
"3094",2008-06-22,0,32,18,25
"3095",2008-06-23,7.2,27.5,20,23.75
"3096",2008-06-24,0,25,19,22
"3097",2008-06-25,0,20,16,18
"3098",2008-06-26,8.1,24,17,20.5
"3099",2008-06-27,0,19,16,17.5
"3100",2008-06-28,0,24.5,16,20.25
"3101",2008-06-29,0,21,16,18.5
"3102",2008-06-30,0,25,16,20.5
"3103",2008-07-01,0,29,17,23
"3104",2008-07-02,9.2,20,16,18
"3105",2008-07-03,0,20,15,17.5
"3106",2008-07-04,0.3,29,12,20.5
"3107",2008-07-05,2,19,16,17.5
"3108",2008-07-06,0,17,15,16
"3109",2008-07-07,0,21,12,16.5
"3110",2008-07-08,0,25,9,17
"3111",2008-07-09,0,29,12,20.5
"3112",2008-07-10,0,29,15,22
"3113",2008-07-11,3.2,21,16,18.5
"3114",2008-07-12,12.3,16,15,15.5
"3115",2008-07-13,0.6,17,13,15
"3116",2008-07-14,0,21,13,17
"3117",2008-07-15,0,25,12,18.5
"3118",2008-07-16,0.5,25,13,19
"3119",2008-07-17,0,21,17,19
"3120",2008-07-18,0,25,13,19
"3121",2008-07-19,0,33,16,24.5
"3122",2008-07-20,0,21,17,19
"3123",2008-07-21,0,21,13,17
"3124",2008-07-22,0,25,9,17
"3125",2008-07-23,0,33,12,22.5
"3126",2008-07-24,0,21,18,19.5
"3127",2008-07-25,0.6,25,16,20.5
"3128",2008-07-26,0,25,17,21
"3129",2008-07-27,0,29,17,23
"3130",2008-07-28,2.4,25,17,21
"3131",2008-07-29,0,25,15,20
"3132",2008-07-30,0,32,16,24
"3133",2008-07-31,0,33,18,25.5
"3134",2008-08-01,0,21,17,19
"3135",2008-08-02,0,25,16,20.5
"3136",2008-08-03,0,29,16,22.5
"3137",2008-08-04,0,25,18,21.5
"3138",2008-08-05,1.5,31,18,24.5
"3139",2008-08-06,3.9,32,16,24
"3140",2008-08-07,0.8,24,17,20.5
"3141",2008-08-08,0,21,16,18.5
